turbine_type,nominal_power
AAER A 70 1500,1500000
AAER A 77 1500,1500000
AMERICAS WIND ENERGY AWE 52 900,900000
AMERICAS WIND ENERGY AWE 54 900,900000
AN BONUS 31,300000
AN BONUS 44,600000
AN BONUS 54,1000000
AN BONUS 62,1300000
AN BONUS 76,2000000
AN BONUS 82,2300000
AREVA MULTIBRID M5000,5000000
BARD VM 5.0,5000000
BWU 43,600000
BWU 48,600000
BWU 57,1050000
Clipper C 89,2500000
Clipper C 93,2500000
Clipper C 96,2500000
Clipper C 99,2500000
# COMPOSITE IEC CLASS I,1500000
# COMPOSITE IEC CLASS II,1500000
# COMPOSITE IEC CLASS III,1500000
DEWIND D4 600,600000
DEWIND D6 1000,1000000
DEWIND D8 2000,2000000
ENERCON E 101 3000,3000000
ENERCON E 112 4500,4500000
ENERCON E 115 2500,2500000
ENERCON E 126 7500,7500000
ENERCON E 30,300000
ENERCON E 33,330000
ENERCON E 40 500,500000
ENERCON E 40 600,600000
ENERCON E 44 600,600000
ENERCON E 48 800,800000
ENERCON E 53 800,800000
ENERCON E 58 1000,1000000
ENERCON E 66 1500,1500000
ENERCON E 66 1800,1800000
ENERCON E 70 2000,2000000
ENERCON E 70 2300,2300000
ENERCON E 82 2000,2000000
ENERCON E 82 2300,2300000
ENERCON E 82 3000,3000000
ENERCON E 92 2300,2300000
ENO 82,2000000
ENO 92,2200000
FRISIA F 48,750000
FRISIA F 56,850000
FUHRLÄNDER FL 100 2500,2500000
FUHRLÄNDER FL 54 1000,1000000
FUHRLANDER FL 80 2500,2500000
FUHRLANDER FL 90 2500,2500000
FUHRLÄNDER MD 70,1500000
FUHRLÄNDER MD 77,1500000
GAMESA G 52 800,800000
GAMESA G 52 850,850000
GAMESA G 58,850000
GAMESA G 80 2000,2000000
GAMESA G 87 2000,2000000
GAMESA G 90 2000,2000000
"GE 1,5 S",1500000
"GE 1,5 SLE",1500000
"GE 1,5 XLE",1500000
"GE 1,6",1600000
"GE 2,3",2300000
"GE 2,5 XL",2500000
"GE 2,75",2750000
LAGERWEY LW 27,250000
LAGERWEY LW 50,750000
# MD 77,1500000
MITSUBISHI MWT 1000,1000000
MITSUBISHI MWT 1000A,1000000
MITSUBISHI MWT 92 2.4,2400000
MITSUBISHI MWT 95 2.4,2400000
NEG MICON NM 44 750,750000
NEG MICON NM 48 750,750000
NEG MICON NM 60 1000,1000000
NEG MICON NM 64C 1500,1500000
NEG MICON NM 72C 1500,1500000
NEG MICON NM 82 1500,1500000
NEG MICON NM 82 1650,1650000
NORDEX N 100 2500,2500000
NORDEX N 100 3300,3300000
NORDEX N 117 2400,2400000
NORDEX N 117 3000,3000000
NORDEX N 27 150,150000
NORDEX N 27 250,250000
NORDEX N 29,250000
NORDEX N 43 600,600000
NORDEX N 52,800000
NORDEX N 54,1000000
NORDEX N 60 1300,1300000
NORDEX N 62,1300000
NORDEX N 80 2500,2500000
NORDEX N 90 2300,2300000
NORDEX N 90 2500 HS,2500000
NORDEX N 90 2500 LS,2500000
NORDEX S 70 1500,1500000
NORDEX S 77 1500,1500000
NORDTANK NTK 500,500000
NORDTANK NTK 600,600000
REPOWER 3.0 M122,3000000
REPOWER 3.2 M114,3200000
REPOWER 3.4 M104,3400000
REPOWER 5M,5000000
REPOWER J 43 500,500000
REPOWER J 48 600,600000
REPOWER J 57 1000,1050000
REPOWER MD 70 1500,1500000
REPOWER MD 77,1500000
REPOWER MM 100 2000,2000000
REPOWER MM 70,2000000
REPOWER MM 82 2050,2050000
REPOWER MM 92 2050,2050000
SIEMENS SWT 2.3 93,2300000
SIEMENS SWT 3.6 120,3600000
SÜDWIND N 3127,270000
SÜDWIND S 31,250000
SÜDWIND S 46,600000
SUZLON S 52 600,600000
SUZLON S 64 1250,1250000
SUZLON S 64 950,950000
SUZLON S 82 1500,1500000
SUZLON S 88,2100000
TACKE T 600 48,600000
TACKE TW 600,600000
TACKE TW 600E,600000
VENSYS 100,2500000
VENSYS 109,2500000
VENSYS 112,2500000
VENSYS 77,1500000
VENSYS 82,1500000
VESTAS NM 52 900,900000
VESTAS V 100 1800,1800000
VESTAS V 112 3000,3000000
VESTAS V 117 3300,3300000
VESTAS V 126 3300,3300000
VESTAS V 29,225000
VESTAS V 39 500,500000
VESTAS V 42 600,600000
VESTAS V 44 600,600000
VESTAS V 47 660,660000
VESTAS V 52 850,850000
VESTAS V 66 1650,1650000
VESTAS V 66 1750,1750000
VESTAS V 80 1800,1800000
VESTAS V 80 2000,2000000
VESTAS V 82 1500,1500000
VESTAS V 82 1650,1650000
VESTAS V 90 1800,1800000
VESTAS V 90 2000,2000000
VESTAS V 90 3000,3000000
WINDWORLD W 42 500,500000
WINDWORLD W 52 750,750000
WTN WTN 200,200000
ZOND Z 40 550,550000
ZOND Z 50 750,750000
